,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
1649858D UN Equity,SAFECO CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1649858D UQ Equity,SAFECO CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1654539D UN Equity,EMBARQ LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1655637D LN Equity,MS AMLIN LTD,GB,GBp,Financials,Insurance,Insurance,Property & Casualty Insurance,#N/A N/A
1683351D UQ Equity,NOVARTIS VACCINES AND DIAGNO,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1683997D UQ Equity,DELL INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1683997D UW Equity,DELL INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1684442D UN Equity,PALL CORP,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,#N/A N/A
1697067D UN Equity,DOW CHEMICAL CO/THE,US,USD,Materials,Materials,Chemicals,Diversified Chemicals,#N/A N/A
1704453D UN Equity,FREEPORT-MCMORAN CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1715651D UN Equity,EIDP INC,US,USD,Materials,Materials,Chemicals,Diversified Chemicals,#N/A N/A
1719868D UN Equity,MANOR CARE INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1746513D UQ Equity,COMMSCOPE CONNECTIVITY LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1746513D UW Equity,COMMSCOPE CONNECTIVITY LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1752754D UN Equity,SUNTORY GLOBAL SPIRITS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1806854D UN Equity,DUN & BRADSTREET CORP,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,#N/A N/A
1810430D UN Equity,SMITH INTERNATIONAL INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1812212D UW Equity,IAC/INTERACTIVECORP,US,USD,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,#N/A N/A
1831877D UN Equity,XL GROUP LTD,BD,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,#N/A N/A
1837572D UN Equity,NOKIA OF AMERICA CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1837977D LN Equity,HOME RETAIL GROUP LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1856613D UN Equity,MONSANTO CO,US,USD,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,#N/A N/A
1858968D UN Equity,FOREST LABORATORIES INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1920486D UQ Equity,ORACLE AMERICA INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1920486D UW Equity,ORACLE AMERICA INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1922150D UN Equity,LINDE INC/CT,US,USD,Materials,Materials,Chemicals,Industrial Gases,#N/A N/A
1927294D UN Equity,L3 TECHNOLOGIES INC,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,#N/A N/A
1972693D UN Equity,CONSTELLATION ENERGY GROUP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1986986D LN Equity,BHP GROUP UK LTD,AU,GBp,Materials,Materials,Metals & Mining,Diversified Metals & Mining,#N/A N/A
1996074D UN Equity,EL PASO LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1996760D UN Equity,HEALTH MANAGEMENT ASSOCIATES,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
