year,top10_weight_pct,top10_count
2005,49.38143,10
2006,44.995048,10
2007,45.5395,10
2008,52.418356,10
2009,48.430756,10
2010,46.087672,10
2011,47.231414,10
2012,45.045170999999996,10
2013,43.010849,10
2014,39.964418,10
2015,38.293222,10
2016,43.285391,10
2017,44.546911,10
2018,45.804884,10
2019,43.547712000000004,10
2020,40.00741,10
2021,40.207831,10
2022,50.65421,10
2023,47.751537,10
2024,45.625777,10
