company_name,gics_sector_name,country_id,total_years_data,avg_icr_recent_5y,correlation_with_policy_rate,rate_sensitivity_classification
JM SMUCKER CO/THE,Consumer Staples,US,20,7.98,-0.8863,Highly Rate-Sensitive
ROLLINS INC,Industrials,US,10,68.2,-0.8858,Highly Rate-Sensitive
BAE SYSTEMS PLC,Industrials,GB,20,11.8,-0.8816,Highly Rate-Sensitive
EXTRA SPACE STORAGE INC,Real Estate,US,20,5.44,-0.8815,Highly Rate-Sensitive
WATERS CORP,Health Care,US,20,16.15,-0.8732,Highly Rate-Sensitive
SEVERN TRENT PLC,Utilities,GB,20,3.86,-0.8719,Highly Rate-Sensitive
QUEST DIAGNOSTICS INC,Health Care,US,20,14.0,-0.8712,Highly Rate-Sensitive
L3HARRIS TECHNOLOGIES INC,Industrials,US,19,8.4,-0.8653,Highly Rate-Sensitive
RENTOKIL INITIAL PLC,Industrials,GB,20,15.06,-0.8639,Highly Rate-Sensitive
VERIZON COMMUNICATIONS INC,Communication Services,US,20,11.0,-0.8635,Highly Rate-Sensitive
RELX PLC,Industrials,GB,20,14.8,-0.8633,Highly Rate-Sensitive
CBRE GROUP INC - A,Real Estate,US,20,25.62,-0.861,Highly Rate-Sensitive
PROCTER & GAMBLE CO/THE,Consumer Staples,US,20,35.6,-0.8608,Highly Rate-Sensitive
EMERSON ELECTRIC CO,Industrials,US,20,16.6,-0.8554,Highly Rate-Sensitive
EBAY INC,Consumer Discretionary,US,20,11.0,-0.8533,Highly Rate-Sensitive
EBAY INC,Consumer Discretionary,US,20,11.0,-0.8533,Highly Rate-Sensitive
BALL CORP,Materials,US,20,5.4,-0.8519,Highly Rate-Sensitive
DIPLOMA PLC,Industrials,GB,16,18.81,-0.851,Highly Rate-Sensitive
SEALED AIR CORP,Materials,US,20,5.17,-0.8507,Highly Rate-Sensitive
UNIVERSAL HEALTH SERVICES-B,Health Care,US,20,15.13,-0.8502,Highly Rate-Sensitive
INTU PROPERTIES PLC,Real Estate,GB,15,-0.79,-0.8498,Highly Rate-Sensitive
CRODA INTERNATIONAL PLC,Materials,GB,20,20.94,-0.8478,Highly Rate-Sensitive
BXP INC,Real Estate,US,20,3.62,-0.8473,Highly Rate-Sensitive
CONVATEC GROUP PLC,Health Care,GB,16,9.03,-0.8458,Highly Rate-Sensitive
CARMAX INC,Consumer Discretionary,US,20,14.41,-0.8446,Highly Rate-Sensitive
MAXIM INTEGRATED PRODUCTS,Information Technology,US,11,23.26,-0.8412,Highly Rate-Sensitive
MAXIM INTEGRATED PRODUCTS,Information Technology,US,11,23.26,-0.8412,Highly Rate-Sensitive
TEXAS INSTRUMENTS INC,Information Technology,US,17,36.0,-0.8409,Highly Rate-Sensitive
TEXAS INSTRUMENTS INC,Information Technology,US,17,36.0,-0.8409,Highly Rate-Sensitive
NCR VOYIX CORP,Information Technology,US,20,2.4,-0.8402,Highly Rate-Sensitive
DECHRA PHARMACEUTICALS LTD,Health Care,GB,20,75.97,-0.8396,Highly Rate-Sensitive
BIG LOTS INC,Consumer Discretionary,US,20,52.28,-0.8385,Highly Rate-Sensitive
COLGATE-PALMOLIVE CO,Consumer Staples,US,20,19.8,-0.8379,Highly Rate-Sensitive
TAKE-TWO INTERACTIVE SOFTWRE,Communication Services,US,18,88.87,-0.8372,Highly Rate-Sensitive
